Sprint,Dev,Tarefa,Fracao,T_Din,Inicio,Fim,Duracao_Tarefa,T_Nominal_Original,T_Base_Calculado,F_Tech_ET,F_Beh_EC,P_Ctx,P_Com,P_Phi_Fadiga,P_Match,B_Apr_Acumulado,F_Total_Multiplicador,Cg_Idx_Sustentabilidade,VNS_Gap,Runtime
1,Dev_0,T0,1.0,18.799999999999997,0.0,18.799999999999997,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
1,Dev_0,T5,1.0,18.799999999999997,18.799999999999997,37.599999999999994,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
1,Dev_0,T10,1.0,18.799999999999997,37.599999999999994,56.39999999999999,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
2,Dev_0,T15,1.0,20.57,112.0,132.57,20.57,12,12.0,1.0,1.0,0.4,0.0,0.18749999999999994,0.0,0.04000000000000001,1.5474999999999999,0.12083333333333333,179.52888888888893,210.95974731445312
2,Dev_0,T20,1.0,21.049999999999997,132.57,153.62,21.049999999999997,12,12.0,1.0,1.0,0.4,0.0,0.18749999999999994,0.0,0.0,1.5875,0.12083333333333333,179.52888888888893,210.95974731445312
2,Dev_0,T21,1.0,30.47975,153.62,184.09975,30.47975,12,17.94,0.92,1.625,0.4,0.0,0.18749999999999994,0.0,0.0,1.5875,0.12083333333333333,179.52888888888893,210.95974731445312
5,Dev_0,T30,1.0,18.799999999999997,448.0,466.8,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
5,Dev_0,T35,1.0,18.799999999999997,466.8,485.6,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
3,Dev_0,T40,1.0,23.299999999999997,224.0,247.3,23.299999999999997,12,12.0,1.0,1.0,0.4,0.0,0.3749999999999999,0.0,0.0,1.775,0.14166666666666666,179.52888888888893,210.95974731445312
4,Dev_0,T45,1.0,18.32,336.0,354.32,18.32,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.04000000000000001,1.3599999999999999,0.1,179.52888888888893,210.95974731445312
4,Dev_0,T50,1.0,18.799999999999997,354.32,373.12,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
4,Dev_0,T60,1.0,17.839999999999996,373.12,390.96,17.839999999999996,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.08000000000000002,1.3199999999999998,0.1,179.52888888888893,210.95974731445312
3,Dev_0,T62,1.0,33.843500000000006,247.3,281.1435,33.843500000000006,12,17.94,0.92,1.625,0.4,0.0,0.3749999999999999,0.0,0.0,1.775,0.14166666666666666,179.52888888888893,210.95974731445312
5,Dev_0,T65,1.0,17.552,485.6,503.15200000000004,17.552,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.10400000000000001,1.2959999999999998,0.1,179.52888888888893,210.95974731445312
