iteracao,tempo_s,tmax_best_h,fp_best,fp_iter,gap_pct,k,melhoria,rejeitada_infactivel
0,1.235,504.40000000000003,530.5408,530.5408,180.22222222222223,0,1,0
1,6.057,503.6128,529.86646312,529.86646312,179.78488888888887,2,1,0
2,14.294,503.6128,529.86646312,945.3194815137551,179.78488888888887,8,0,0
3,19.64,503.6128,529.86646312,545.896586652,179.78488888888887,9,0,0
4,38.99,503.6128,529.86646312,544.1207333112001,179.78488888888887,6,0,0
5,46.238,503.6128,529.86646312,542.6356018880001,179.78488888888887,5,0,0
6,51.782,503.6128,529.86646312,546.090037052,179.78488888888887,10,0,0
7,62.669,503.6128,529.86646312,600.0576044626666,179.78488888888887,3,0,0
8,69.22,503.6128,529.86646312,544.784093412,179.78488888888887,4,0,0
9,74.058,503.15200000000004,529.75039468,529.75039468,179.52888888888893,7,1,0
10,92.005,503.15200000000004,529.75039468,543.14409604,179.52888888888893,1,0,0
11,101.124,503.15200000000004,529.75039468,543.837145756,179.52888888888893,7,0,0
12,110.108,503.15200000000004,529.75039468,545.092315128,179.52888888888893,2,0,0
13,121.316,503.15200000000004,529.75039468,545.194695664,179.52888888888893,9,0,0
14,129.797,503.15200000000004,529.75039468,545.531894948,179.52888888888893,10,0,0
15,142.145,503.15200000000004,529.75039468,543.460246108,179.52888888888893,1,0,0
16,158.627,503.15200000000004,529.75039468,881.2393152885902,179.52888888888893,8,0,0
17,173.28,503.15200000000004,529.75039468,544.2208244039999,179.52888888888893,4,0,0
18,200.881,503.15200000000004,529.75039468,604.0926570936,179.52888888888893,3,0,0
