Sprint,Dev,Tarefa,Fracao,T_Din,Inicio,Fim,Duracao_Tarefa,T_Nominal_Original,T_Base_Calculado,F_Tech_ET,F_Beh_EC,P_Ctx,P_Com,P_Phi_Fadiga,P_Match,B_Apr_Acumulado,F_Total_Multiplicador,Cg_Idx_Sustentabilidade,VNS_Gap,Runtime
4,Dev_0,T0,1.0,88.3336625,336.0,424.3336625,88.3336625,100,107.2734375,0.995,1.078125,0.0,0.0,0.0,0.0,0.19520000000000004,0.8048,0.0359375,223.95569523809522,180.2046914100647
1,Dev_0,T2,0.25,37.11692708333334,38.51848958333334,86.56015625,48.04166666666667,25,37.375,0.92,1.625,0.2,0.15000000000000002,0.07499999999999998,2.3333333333333335,0.0,3.7583333333333337,0.10833333333333334,223.95569523809522,180.2046914100647
1,Dev_0,T3,0.25,38.51848958333334,0.0,38.51848958333334,38.51848958333334,25,37.375,0.92,1.625,0.2,0.30000000000000004,0.07499999999999998,2.3333333333333335,0.0,3.908333333333334,0.10833333333333334,223.95569523809522,180.2046914100647
2,Dev_0,T5,0.25,37.77098958333334,112.0,150.14473958333335,38.14473958333334,25,37.375,0.92,1.625,0.2,0.30000000000000004,0.07499999999999998,2.3333333333333335,0.08000000000000002,3.828333333333334,0.10833333333333334,223.95569523809522,180.2046914100647
3,Dev_0,T6,1.0,44.27112499999999,224.0,268.271125,44.27112499999999,25,37.375,0.92,1.625,0.2,0.0,0.07499999999999998,0.0,0.14400000000000002,1.1309999999999998,0.10833333333333334,223.95569523809522,180.2046914100647
3,Dev_0,T7,1.0,44.27112499999999,268.271125,312.54224999999997,44.27112499999999,25,37.375,0.92,1.625,0.2,0.0,0.07499999999999998,0.0,0.14400000000000002,1.1309999999999998,0.10833333333333334,223.95569523809522,180.2046914100647
2,Dev_0,T9,0.25,37.77098958333334,150.14473958333335,188.2894791666667,38.14473958333334,25,37.375,0.92,1.625,0.2,0.30000000000000004,0.07499999999999998,2.3333333333333335,0.08000000000000002,3.828333333333334,0.10833333333333334,223.95569523809522,180.2046914100647
2,Dev_1,T1,1.0,34.99999999999999,176.8530729166667,211.8530729166667,34.99999999999999,25,25.0,1.0,1.0,0.4,0.0,0.0,0.0,0.08000000000000002,1.3199999999999998,0.1,223.95569523809522,180.2046914100647
1,Dev_1,T2,0.25,37.11692708333334,38.51848958333334,86.56015625,48.04166666666667,25,37.375,0.92,1.625,0.2,0.15000000000000002,0.07499999999999998,2.3333333333333335,0.0,3.7583333333333337,0.10833333333333334,223.95569523809522,180.2046914100647
1,Dev_1,T3,0.25,38.51848958333334,0.0,38.51848958333334,38.51848958333334,25,37.375,0.92,1.625,0.2,0.30000000000000004,0.07499999999999998,2.3333333333333335,0.0,3.908333333333334,0.10833333333333334,223.95569523809522,180.2046914100647
4,Dev_1,T4,1.0,89.19185,336.0,425.19185,89.19185,100,107.2734375,0.995,1.078125,0.0,0.0,0.0,0.0,0.18720000000000003,0.8128,0.0359375,223.95569523809522,180.2046914100647
2,Dev_1,T5,0.25,26.70833333333334,112.0,150.14473958333335,38.14473958333334,25,25.0,1.0,1.0,0.4,0.30000000000000004,0.0,2.3333333333333335,0.08000000000000002,3.953333333333334,0.1,223.95569523809522,180.2046914100647
3,Dev_1,T8,1.0,89.535125,224.0,313.535125,89.535125,100,107.2734375,0.995,1.078125,0.0,0.0,0.0,0.0,0.18400000000000005,0.816,0.0359375,223.95569523809522,180.2046914100647
