iteracao,tempo_s,tmax_best_h,fp_best,fp_iter,gap_pct,k,melhoria,rejeitada_infactivel
0,0.629,614.22828,13514.473684187506,13514.473684187506,367.98345142857147,0,1,0
1,0.847,538.9768799999999,564.7136169282406,564.7136169282406,310.6490514285714,5,1,0
2,1.046,536.23068,563.7997618472223,563.7997618472223,308.55670857142854,9,1,0
3,1.322,536.23068,563.7997618472223,563.7997618472223,308.55670857142854,7,0,0
4,1.491,536.23068,559.9359888958334,559.9359888958334,308.55670857142854,1,1,0
5,1.775,536.23068,559.9359888958334,559.9359888958334,308.55670857142854,10,0,0
6,2.03,536.23068,559.9359888958334,559.9359888958334,308.55670857142854,2,0,0
7,2.685,536.23068,559.9359888958334,581.7545275833318,308.55670857142854,6,0,0
8,2.867,536.23068,557.8493631145833,557.8493631145833,308.55670857142854,4,1,0
9,2.869,536.23068,557.8493631145833,88875.28818233391,308.55670857142854,4,0,0
10,3.42,536.23068,557.8493631145833,557.8703793645833,308.55670857142854,3,0,0
11,3.839,536.23068,557.8493631145833,557.8493631145833,308.55670857142854,6,0,0
12,4.04,536.23068,557.8493631145833,467.6188751041651,308.55670857142854,8,0,1
13,4.044,536.23068,557.8493631145833,220366.41955644157,308.55670857142854,3,0,0
14,4.264,536.23068,557.8493631145833,1225.8326403263873,308.55670857142854,8,0,0
15,4.457,536.23068,557.8493631145833,1226.3979782395816,308.55670857142854,5,0,0
16,4.774,536.23068,557.8493631145833,2027.6483263611105,308.55670857142854,6,0,0
17,4.776,536.23068,557.8493631145833,91856.7122022576,308.55670857142854,3,0,0
18,5.273,536.23068,557.8493631145833,558.0805553888889,308.55670857142854,4,0,0
19,5.829,536.23068,557.8493631145833,557.8583971423611,308.55670857142854,1,0,0
20,6.127,536.23068,557.8493631145833,557.8493631145833,308.55670857142854,2,0,0
21,6.13,536.23068,557.8493631145833,81922.67403236657,308.55670857142854,8,0,0
22,6.589,536.23068,557.8493631145833,604.8167928541636,308.55670857142854,4,0,0
23,6.591,536.23068,557.8493631145833,78393.67674919253,308.55670857142854,3,0,0
24,7.008,536.23068,557.8493631145833,12691.174891784718,308.55670857142854,8,0,0
25,7.383,536.23068,557.8493631145833,526.9939304270818,308.55670857142854,9,0,1
26,7.597,536.23068,557.8179097465278,557.8179097465278,308.55670857142854,6,1,0
27,8.15,536.23068,557.8179097465278,565.3789615868055,308.55670857142854,7,0,0
28,8.403,536.23068,557.8179097465278,525.6767470937484,308.55670857142854,10,0,1
29,8.406,536.23068,557.8179097465278,75976.8908703999,308.55670857142854,4,0,0
30,8.833,536.23068,557.8179097465278,562.1852557708334,308.55670857142854,5,0,0
31,9.254,536.23068,557.8179097465278,558.5638667777778,308.55670857142854,7,0,0
32,9.257,536.23068,557.8179097465278,226061.21379622282,308.55670857142854,8,0,0
33,9.669,536.23068,557.8179097465278,558.7699696423612,308.55670857142854,3,0,0
34,10.114,536.23068,557.8179097465278,467.6978063541651,308.55670857142854,1,0,1
35,10.39,536.23068,557.8179097465278,557.8179097465278,308.55670857142854,2,0,0
36,10.393,536.23068,557.8179097465278,76519.65097482446,308.55670857142854,4,0,0
37,10.934,536.23068,557.8179097465278,558.7151104236111,308.55670857142854,10,0,0
38,11.495,536.23068,557.8179097465278,563.9963277152777,308.55670857142854,6,0,0
39,12.014,536.23068,557.8179097465278,562.4714995439815,308.55670857142854,3,0,0
40,12.423,536.23068,557.8179097465278,558.0896805798611,308.55670857142854,8,0,0
41,12.626,536.23068,557.8179097465278,2027.8645101111106,308.55670857142854,6,0,0
42,12.981,536.23068,557.8179097465278,1225.6133513298594,308.55670857142854,9,0,0
43,13.182,536.23068,557.8179097465278,469.228994461804,308.55670857142854,7,0,1
44,13.799,536.23068,557.8179097465278,563.5591309270833,308.55670857142854,8,0,0
45,13.801,536.23068,557.8179097465278,510191.3705166377,308.55670857142854,8,0,0
46,14.284,536.23068,557.8179097465278,561.3615004027778,308.55670857142854,4,0,0
47,14.766,536.23068,557.8179097465278,560.4806528194445,308.55670857142854,9,0,0
48,14.768,536.23068,557.8179097465278,130648.68291075798,308.55670857142854,6,0,0
49,15.134,536.23068,557.8179097465278,561.3573194571759,308.55670857142854,2,0,0
50,15.136,536.23068,557.8179097465278,63105.68878365327,308.55670857142854,6,0,0
51,15.673,536.23068,557.5099475069444,557.5099475069444,308.55670857142854,3,1,0
52,15.901,536.23068,557.5099475069444,2025.7905545729159,308.55670857142854,5,0,0
53,16.074,536.23068,556.8722686875,556.8722686875,308.55670857142854,10,1,0
54,16.459,536.23068,556.8722686875,558.6884496770833,308.55670857142854,1,0,0
55,16.792,536.23068,556.8722686875,559.59256946875,308.55670857142854,4,0,0
56,17.086,536.23068,556.8722686875,560.9510325902778,308.55670857142854,3,0,0
57,17.664,536.23068,556.8722686875,557.8703793645833,308.55670857142854,9,0,0
58,18.107,536.23068,556.8722686875,13770.917721267357,308.55670857142854,8,0,0
59,18.53,536.23068,556.8722686875,557.7575321423611,308.55670857142854,6,0,0
60,19.048,536.23068,556.8722686875,559.107782732639,308.55670857142854,3,0,0
61,19.362,536.23068,556.8722686875,557.8003329930556,308.55670857142854,2,0,0
62,19.781,536.23068,556.8722686875,559.9276935254629,308.55670857142854,6,0,0
63,19.784,536.23068,556.8722686875,111984.71783973853,308.55670857142854,8,0,0
64,20.094,536.23068,556.8722686875,14593.672417180554,308.55670857142854,7,0,0
65,20.538,536.23068,556.8722686875,472.19722510995217,308.55670857142854,5,0,1
66,20.833,536.23068,556.8722686875,557.7996626805556,308.55670857142854,1,0,0
67,21.286,536.23068,556.8722686875,558.5234028136574,308.55670857142854,10,0,0
68,21.871,536.23068,556.8722686875,587.8474952395818,308.55670857142854,4,0,0
69,22.383,536.23068,556.8722686875,556.8722686875,308.55670857142854,3,0,0
70,22.385,536.23068,556.8722686875,67358.48562742693,308.55670857142854,4,0,0
71,22.791,536.23068,556.8722686875,559.6194849895834,308.55670857142854,2,0,0
72,23.244,536.23068,556.8722686875,560.7264242256945,308.55670857142854,8,0,0
73,23.633,536.23068,556.8722686875,561.1204648819445,308.55670857142854,9,0,0
74,23.994,536.23068,556.8722686875,583.503666541665,308.55670857142854,4,0,0
75,24.425,536.23068,556.8722686875,557.6843311875,308.55670857142854,5,0,0
76,24.986,536.23068,556.8722686875,12690.34899745833,308.55670857142854,8,0,0
77,25.754,536.23068,556.8722686875,660.1845231944426,308.55670857142854,7,0,0
78,26.174,536.23068,556.8722686875,1959.386936493055,308.55670857142854,10,0,0
79,26.817,536.23068,556.8722686875,557.5099475069444,308.55670857142854,1,0,0
80,27.146,536.23068,556.8722686875,489.8893028587932,308.55670857142854,6,0,1
81,27.537,536.23068,556.8722686875,561.1204648819445,308.55670857142854,3,0,0
82,27.907,536.23068,556.8722686875,585.9614228148132,308.55670857142854,3,0,0
83,28.371,536.23068,556.8722686875,559.8211578657407,308.55670857142854,6,0,0
84,28.595,536.23068,556.8722686875,1225.6603614861094,308.55670857142854,4,0,0
85,29.082,536.23068,556.8722686875,1157.0814382118037,308.55670857142854,5,0,0
86,29.693,536.23068,556.8722686875,577.000789104165,308.55670857142854,3,0,0
87,29.696,536.23068,556.8722686875,155523.85594913553,308.55670857142854,3,0,0
88,29.889,536.23068,556.8722686875,533.6905649826358,308.55670857142854,9,0,1
89,29.892,536.23068,556.8722686875,215560.11705913936,308.55670857142854,8,0,0
90,30.304,536.23068,556.8722686875,558.6884496770833,308.55670857142854,6,0,0
91,30.585,536.23068,556.8722686875,556.8722686875,308.55670857142854,1,0,0
92,30.904,536.23068,556.8722686875,557.7996626805556,308.55670857142854,4,0,0
93,31.3,536.23068,556.8722686875,560.6478280046297,308.55670857142854,10,0,0
94,31.506,536.23068,556.8722686875,13770.7691441493,308.55670857142854,6,0,0
95,31.776,536.23068,556.8722686875,557.9077752673611,308.55670857142854,7,0,0
96,32.078,536.23068,556.8722686875,557.7921876805556,308.55670857142854,2,0,0
97,32.685,536.23068,556.8722686875,559.6696837743056,308.55670857142854,4,0,0
98,33.234,536.23068,556.8722686875,557.6887235486112,308.55670857142854,8,0,0
99,33.492,536.23068,556.8722686875,556.8722686875,308.55670857142854,10,0,0
100,33.82,536.23068,556.8722686875,1986.5883400868033,308.55670857142854,3,0,0
101,34.128,536.23068,556.8722686875,560.1368154583333,308.55670857142854,7,0,0
102,34.13,536.23068,556.8722686875,225227.20049261165,308.55670857142854,8,0,0
103,34.778,536.23068,556.8722686875,558.5916840520833,308.55670857142854,5,0,0
104,34.781,536.23068,556.8722686875,176844.14700866403,308.55670857142854,4,0,0
105,34.784,536.23068,556.8722686875,110499.15896304828,308.55670857142854,3,0,0
106,35.077,536.23068,556.8722686875,584.7372550312484,308.55670857142854,9,0,0
107,35.08,536.23068,556.8722686875,130482.73481173368,308.55670857142854,6,0,0
108,35.497,536.23068,556.8722686875,558.5096736354167,308.55670857142854,2,0,0
109,35.5,536.23068,556.8722686875,190252.57626445338,308.55670857142854,8,0,0
110,35.865,536.23068,556.8722686875,581.7108297777762,308.55670857142854,1,0,0
111,36.467,536.23068,556.8722686875,561.2719876712963,308.55670857142854,6,0,0
112,36.85,536.23068,556.8722686875,470.37742980902624,308.55670857142854,4,0,1
113,37.235,536.23068,556.8722686875,557.6887235486112,308.55670857142854,3,0,0
114,37.53,536.23068,556.8722686875,2025.7905545729159,308.55670857142854,2,0,0
115,37.786,536.23068,556.8722686875,2025.792049572916,308.55670857142854,5,0,0
116,38.204,536.23068,556.8722686875,561.1279398819445,308.55670857142854,7,0,0
117,39.356,536.23068,556.8722686875,12690.251186607635,308.55670857142854,4,0,0
118,39.826,536.23068,556.8722686875,557.6887235486112,308.55670857142854,4,0,0
119,40.025,536.23068,556.8703999375,556.8703999375,308.55670857142854,3,1,0
120,40.332,536.23068,556.8703999375,557.7820348159722,308.55670857142854,1,0,0
121,40.607,536.23068,556.8703999375,556.8703999375,308.55670857142854,10,0,0
122,41.285,536.23068,556.8703999375,557.6887235486112,308.55670857142854,8,0,0
123,41.287,536.23068,556.8703999375,79204.05866774246,308.55670857142854,8,0,0
124,41.29,536.23068,556.8703999375,84639.20560957665,308.55670857142854,9,0,0
125,41.292,536.23068,556.8703999375,81289.44503651714,308.55670857142854,6,0,0
126,41.596,536.23068,556.8703999375,1307.9969664710613,308.55670857142854,6,0,0
127,42.037,536.23068,556.8703999375,560.5780101631944,308.55670857142854,9,0,0
128,42.358,536.23068,556.8703999375,12690.428115991896,308.55670857142854,6,0,0
129,42.976,536.23068,556.8703999375,563.8982497256944,308.55670857142854,3,0,0
130,43.434,536.23068,556.8703999375,536.753083472219,308.55670857142854,8,0,1
131,43.436,536.23068,556.8703999375,102814.89647986437,308.55670857142854,8,0,0
132,43.697,536.23068,556.8703999375,556.8703999375,308.55670857142854,1,0,0
133,44.026,536.23068,556.8703999375,559.4088420381945,308.55670857142854,7,0,0
134,44.611,536.23068,556.8703999375,557.5778847465278,308.55670857142854,2,0,0
135,44.901,536.23068,556.8703999375,515.1922066319429,308.55670857142854,6,0,1
136,44.904,536.23068,556.8703999375,57373.078929628464,308.55670857142854,3,0,0
137,45.314,536.23068,556.8703999375,558.5745843993055,308.55670857142854,5,0,0
138,45.809,536.23068,556.8703999375,587.9398970069428,308.55670857142854,4,0,0
139,46.141,536.23068,556.8703999375,557.6935533055556,308.55670857142854,4,0,0
140,46.451,536.23068,556.8703999375,557.7820348159722,308.55670857142854,10,0,0
141,46.803,536.23068,556.8703999375,557.6887235486112,308.55670857142854,5,0,0
142,46.807,536.23068,556.8703999375,56470.52237570574,308.55670857142854,3,0,0
143,47.236,536.23068,556.8703999375,12691.161210162034,308.55670857142854,8,0,0
144,47.591,536.23068,556.8703999375,557.6336975069445,308.55670857142854,4,0,0
145,47.594,536.23068,556.8703999375,90093.33984729818,308.55670857142854,3,0,0
146,47.919,536.23068,556.8703999375,560.4528915173611,308.55670857142854,9,0,0
147,48.39,536.23068,556.8703999375,678.9213669270799,308.55670857142854,6,0,0
148,48.696,536.23068,556.8703999375,560.9491638402778,308.55670857142854,1,0,0
149,49.173,536.23068,556.8703999375,557.5611541041667,308.55670857142854,8,0,0
150,49.434,536.23068,556.8703999375,556.8703999375,308.55670857142854,10,0,0
151,49.799,536.23068,556.8703999375,556.8703999375,308.55670857142854,7,0,0
152,50.087,536.23068,556.8703999375,557.6767189305556,308.55670857142854,4,0,0
153,50.498,536.23068,556.8703999375,560.1890252152778,308.55670857142854,6,0,0
154,50.769,536.23068,556.8703999375,556.8703999375,308.55670857142854,2,0,0
155,50.771,536.23068,556.8703999375,81879.77510423264,308.55670857142854,4,0,0
156,50.98,536.23068,556.8703999375,2025.7905545729159,308.55670857142854,1,0,0
157,51.398,536.23068,556.8703999375,12690.90297947222,308.55670857142854,8,0,0
158,51.939,536.23068,556.8703999375,557.5611541041667,308.55670857142854,3,0,0
159,52.306,536.23068,556.8703999375,561.0003704375,308.55670857142854,5,0,0
160,52.76,536.23068,556.8703999375,562.1742799513889,308.55670857142854,9,0,0
161,53.035,536.23068,556.8703999375,599.2579754583303,308.55670857142854,7,0,0
162,53.46,536.23068,556.8703999375,583.4969891944429,308.55670857142854,6,0,0
163,53.999,536.23068,556.8703999375,559.0322808807871,308.55670857142854,8,0,0
164,54.394,536.23068,556.8703999375,561.1204648819445,308.55670857142854,3,0,0
165,54.583,536.23068,556.8703999375,14377.386953002306,308.55670857142854,6,0,0
166,54.889,536.23068,556.8703999375,557.7824241388889,308.55670857142854,10,0,0
167,55.184,536.23068,556.8703999375,557.7820348159722,308.55670857142854,2,0,0
168,55.541,536.23068,556.8703999375,467.94608499999845,308.55670857142854,4,0,1
169,55.543,536.23068,556.8703999375,123895.89051837557,308.55670857142854,8,0,0
170,56.038,536.23068,556.8703999375,13177.060333714113,308.55670857142854,6,0,0
171,56.621,536.23068,556.8703999375,525.1035459861096,308.55670857142854,4,0,1
172,57.003,536.23068,556.8703999375,588.2108411562483,308.55670857142854,4,0,0
173,57.343,536.23068,556.8703999375,557.7824241388889,308.55670857142854,2,0,0
174,57.607,536.23068,556.8703999375,556.8703999375,308.55670857142854,10,0,0
175,57.89,536.23068,556.8703999375,557.7921876805556,308.55670857142854,5,0,0
176,57.892,536.23068,556.8703999375,303113.90242254507,308.55670857142854,8,0,0
177,58.681,536.23068,556.8703999375,560.1033902152778,308.55670857142854,3,0,0
