vns_iter,evento,l,iter_interna,fp,tmax,pen_cap,pen_jan,pen_tsk,tempo_s
0,entrada,0,0,34495.6078,700.8744,16375.1152,17394.895,0.0,0.0
0,melhoria,1,1,34495.0328,700.8744,16375.1152,17394.895,0.0,0.0
0,melhoria,1,2,34493.5162,700.8744,16375.1152,17394.895,0.0,0.001
0,melhoria,1,3,34492.9312,700.8744,16375.1152,17394.895,0.0,0.002
0,melhoria,1,4,34491.9978,700.8744,16375.1152,17394.895,0.0,0.004
0,melhoria,1,5,34491.0728,700.8744,16375.1152,17394.895,0.0,0.007
0,melhoria,3,8,33080.5075,696.4805,15706.8,16656.7164,0.0,0.017
0,melhoria,1,9,32288.2744,694.0089,15330.8727,16241.491,0.0,0.022
0,melhoria,1,10,32287.6911,694.0089,15330.8727,16241.491,0.0,0.027
0,melhoria,3,13,31180.3738,689.615,14965.7337,15503.3124,0.0,0.036
0,melhoria,1,14,30828.3195,688.5165,14798.6549,15318.7678,0.0,0.038
0,melhoria,1,15,30723.3674,688.5165,14693.7059,15318.7678,0.0,0.038
0,melhoria,3,18,30723.3104,688.5165,14693.7059,15318.7678,0.0,0.044
0,melhoria,3,21,30524.582,688.5165,14495.4787,15318.7678,0.0,0.054
0,melhoria,1,22,30084.9619,687.1434,14286.6301,15088.087,0.0,0.058
0,melhoria,3,25,28321.4049,681.651,13451.2361,14165.3638,0.0,0.066
0,melhoria,3,28,26558.1484,676.1586,12615.8421,13242.6406,0.0,0.078
0,melhoria,3,31,26558.0625,676.1586,12615.8421,13242.6406,0.0,0.087
0,melhoria,3,34,25396.7213,671.7647,12183.4117,12517.6414,0.0,0.094
0,melhoria,1,35,25385.5468,670.0483,12365.2239,12325.4074,0.0,0.099
0,melhoria,3,38,25385.4382,670.0483,12365.2239,12325.4074,0.0,0.115
0,melhoria,1,39,25385.4375,670.0483,12365.2239,12325.4074,0.0,0.117
0,melhoria,3,42,25385.3592,670.0483,12365.2239,12325.4074,0.0,0.128
0,saida,0,47,25385.3592,670.0483,12365.2239,12325.4074,0.0,0.194
0,entrada,0,0,105590.2066,897.3789,49447.2808,55208.5801,0.0,0.0
0,melhoria,1,1,105589.5238,897.3789,49447.2808,55208.5801,0.0,0.001
0,melhoria,1,2,56000.8758,753.8249,28106.3083,27107.7134,0.0,0.004
0,melhoria,1,3,51963.7132,753.8249,25174.6403,26001.9012,0.0,0.004
