Sprint,Dev,Tarefa,Fracao,T_Din,Inicio,Fim,Duracao_Tarefa,T_Nominal_Original,T_Base_Calculado,F_Tech_ET,F_Beh_EC,P_Ctx,P_Com,P_Phi_Fadiga,P_Match,B_Apr_Acumulado,F_Total_Multiplicador,Cg_Idx_Sustentabilidade,VNS_Gap,Runtime
1,Dev_0,T0,1.0,30.0,0.0,30.0,30.0,20,20.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,45.00788438390755,180.5518674850464
1,Dev_0,T1,1.0,26.0,32.0,58.0,26.0,20,20.0,1.0,1.0,0.4,0.0,0.0,0.0,0.2,1.2,0.1,45.00788438390755,180.5518674850464
1,Dev_0,T2,1.0,23.599999999999998,60.0,83.6,23.599999999999998,20,20.0,1.0,1.0,0.4,0.0,0.0,0.0,0.32000000000000006,1.0799999999999998,0.1,45.00788438390755,180.5518674850464
2,Dev_0,T3,1.0,19.759999999999998,112.0,131.76,19.759999999999998,20,20.0,1.0,1.0,0.4,0.0,0.0,0.0,0.512,0.8879999999999999,0.1,45.00788438390755,180.5518674850464
2,Dev_0,T4,1.0,18.895999999999997,133.76,152.65599999999998,18.895999999999997,20,20.0,1.0,1.0,0.4,0.0,0.0,0.0,0.5552,0.8447999999999999,0.1,45.00788438390755,180.5518674850464
2,Dev_0,T5,1.0,18.377599999999997,154.65599999999998,173.03359999999998,18.377599999999997,20,20.0,1.0,1.0,0.4,0.0,0.0,0.0,0.5811200000000001,0.8188799999999998,0.1,45.00788438390755,180.5518674850464
3,Dev_0,T6,1.0,16.14656,224.0,240.14656,16.14656,20,20.0,1.0,1.0,0.4,0.0,0.0,0.0,0.692672,0.707328,0.1,45.00788438390755,180.5518674850464
3,Dev_0,T7,1.0,15.959935999999997,242.14656,258.106496,15.959935999999997,20,20.0,1.0,1.0,0.4,0.0,0.0,0.0,0.7020032,0.6979967999999999,0.1,45.00788438390755,180.5518674850464
3,Dev_0,T8,1.0,15.847961599999996,260.106496,275.9544576,15.847961599999996,20,20.0,1.0,1.0,0.4,0.0,0.0,0.0,0.7076019200000001,0.6923980799999998,0.1,45.00788438390755,180.5518674850464
4,Dev_0,T9,1.0,14.244776959999996,336.0,350.24477695999997,14.244776959999996,20,20.0,1.0,1.0,0.4,0.0,0.0,0.0,0.7877611520000001,0.6122388479999998,0.1,45.00788438390755,180.5518674850464
